Form,Line,Description,2023,2024,2025
1040,1z,Total W2,180000,190000,200000
1040,2b,Taxable interest,3000,3500,4000
1040,3a,Qualified dividends,3000,3200,3500
1040,3b,Ordinary dividends,4000,4500,5000
1040,7,Capital gain,7000,-3000,5000
1040,8,Additional income,0,0,0
1040,9,Total income,194000,195000,214000
1040,10,Adjustments to income,0,0,0
1040,11,Adjusted gross income,194000,195000,214000
1040,12,Deduction,31000,31000,32000
1040,13,Business deduction,0,0,0
1040,15,Taxable income,163000,164000,182000
1040,16,Tax,23000,23200,26500
1040,23,Other taxes,0,0,0
1040,24,Total tax,23000,23200,26500
1040,33,Total tax paid,25000,25000,28000
2,11,Additional Medicare Tax,0,0,0
2,12,Net investment income tax,0,0,0
2,21,Total other taxes,0,0,0
A,7,Tax deduction,10000,10000,10000
A,8a,Home mortgage interest,18000,17500,17000
A,10,Interest deduction,0,0,0
A,14,Donations,3000,3500,5000
A,17,Total itemized deductions,31000,31000,32000
D,1a,Short term gain,2000,-1000,1000
D,1b,Short term gain wash sale,0,0,0
D,2,Short term gain no cost basis,0,0,0
D,6,Short term carryover,0,0,-800
D,7,Net short term gain,2000,-1000,200
D,8a,Long term gain,5000,-2800,4800
D,8b,Long term gain wash sale,0,0,0
D,9,Long term gain no cost basis,0,0,0
D,14,Long term carryover,0,0,0
D,15,Net long term gain,5000,-2800,4800
D,16,Capital gain,7000,-3800,5000
D,21,Capital loss limit,0,-3000,0
2441,2d,Qualified expenses,8000,8500,9000
2441,12,Dependent care benefits,5000,5000,5000
2441,3,Credit,600,600,600
8959,18,Additional medicare tax,0,0,0
8959,24,Additional medicare tax withholding,0,0,0
8960,8,Total investment income,14000,5000,17500
8960,11,Total investment expenses,0,0,0
540,11,Total exemption,0,0,0
540,14,CA substractions,2000,2500,3000
540,16,CA additions,0,0,0
540,17,CA gross income,192000,192500,211000
540,18,CA deductions,21000,21000,22000
540,19,CA taxable income,171000,171500,189000
540,64,CA total tax,10200,10300,11500
540,78,CA total payments,11000,11000,12000
